List all the ‘Comedy’ movies released between 1986 and 2016?
select name,genre,year from movies where year>1986 and year<2016 and genre=Comedy;
                                        name                                         | genre  | year 
 The Banger Sisters                                                                  | Comedy | 2002
 Hiding Out                                                                          | Comedy | 1987
 Plump Fiction                                                                       | Comedy | 1997
 Repossessed                                                                         | Comedy | 1990
 Let's Go to Prison                                                                  | Comedy | 2006
 The Brothers Solomon                                                                | Comedy | 2007
 Man Trouble                                                                         | Comedy | 1992
 Dirty Work                                                                          | Comedy | 1998
 Spice World                                                                         | Comedy | 1997
 Kingpin                                                                             | Comedy | 1996
 There's Something About Mary                                                        | Comedy | 1998
 Me, Myself & Irene                                                                  | Comedy | 2000
 Shallow Hal                                                                         | Comedy | 2001
 Stuck on You                                                                        | Comedy | 2003
 Fever Pitch                                                                         | Comedy | 2005
 The Heartbreak Kid                                                                  | Comedy | 2007
 Hall Pass                                                                           | Comedy | 2011
 The Three Stooges                                                                   | Comedy | 2012
 Dumb and Dumber to                                                                  | Comedy | 2014
 Shakes the Clown                                                                    | Comedy | 1991
 World's Greatest Dad                                                                | Comedy | 2009
 Return to Me                                                                        | Comedy | 2000
 Casper                                                                              | Comedy | 1995
 Out Cold                                                                            | Comedy | 2001
 I'll See You in My Dreams                                                           | Comedy | 2015
 The Family Man                                                                      | Comedy | 2000
 Saved!                                                                              | Comedy | 2004
 The Bonfire of the Vanities                                                         | Comedy | 1990
 Still Crazy                                                                         | Comedy | 1998
 Vice Versa                                                                          | Comedy | 1988
 The Muppet Christmas Carol                                                          | Comedy | 1992
 Problem Child 2                                                                     | Comedy | 1991
 Beethoven                                                                           | Comedy | 1992
 The Flintstones                                                                     | Comedy | 1994
 The Flintstones in Viva Rock Vegas                                                  | Comedy | 2000
 Good Burger                                                                         | Comedy | 1997
 Varsity Blues                                                                       | Comedy | 1999
 Ready to Rumble                                                                     | Comedy | 2000
 The Perfect Score                                                                   | Comedy | 2004
 Norbit                                                                              | Comedy | 2007
 A Thousand Words                                                                    | Comedy | 2012
 Harriet the Spy                                                                     | Comedy | 1996
 Forces of Nature                                                                    | Comedy | 1999
 Her Alibi                                                                           | Comedy | 1989
 Superstar                                                                           | Comedy | 1999
 Duets                                                                               | Comedy | 2000
 Withnail & I                                                                        | Comedy | 1987
 How to Get Ahead in Advertising                                                     | Comedy | 1989
 The Rum Diary                                                                       | Comedy | 2011
 View from the Top                                                                   | Comedy | 2003
 The Bronze                                                                          | Comedy | 2015
 Career Opportunities                                                                | Comedy | 1991
 For Richer or Poorer                                                                | Comedy | 1997
 Johnny Be Good                                                                      | Comedy | 1988
 Arthur 2: on the Rocks                                                              | Comedy | 1988
 Igby Goes Down                                                                      | Comedy | 2002
 17 Again                                                                            | Comedy | 2009
 Latter Days                                                                         | Comedy | 2003
 The Spanish Apartment                                                               | Comedy | 2002
 Mad Money                                                                           | Comedy | 2008
 Say Anything                                                                        | Comedy | 1989
 Singles                                                                             | Comedy | 1992
 Jerry Maguire                                                                       | Comedy | 1996
 Elizabethtown                                                                       | Comedy | 2005
 We Bought a Zoo                                                                     | Comedy | 2011
 Aloha                                                                               | Comedy | 2015
 Summer School                                                                       | Comedy | 1987
 Sibling Rivalry                                                                     | Comedy | 1990
 Fatal Instinct                                                                      | Comedy | 1993
 I'm Still Here                                                                      | Comedy | 2010
 Sex Is Comedy                                                                       | Comedy | 2002
 A Fish Called Wanda                                                                 | Comedy | 1988
 Kissing Jessica Stein                                                               | Comedy | 2001
 Legally Blonde 2                                                                    | Comedy | 2003
 Air Bud                                                                             | Comedy | 1997
 Baby Boom                                                                           | Comedy | 1987
 Father of the Bride                                                                 | Comedy | 1991
 Father of the Bride Part II                                                         | Comedy | 1995
 Alfie                                                                               | Comedy | 2004
 Drumline                                                                            | Comedy | 2002
 My Demon Lover                                                                      | Comedy | 1987
 The One I Love                                                                      | Comedy | 2014
 Passed Away                                                                         | Comedy | 1992
 Born in East L.A.                                                                   | Comedy | 1987
 Serious Moonlight                                                                   | Comedy | 2009
 Heartbreak Hotel                                                                    | Comedy | 1988
 Home Alone                                                                          | Comedy | 1990
 Only the Lonely                                                                     | Comedy | 1991
 Mrs. Doubtfire                                                                      | Comedy | 1993
 Nine Months                                                                         | Comedy | 1995
 Stepmom                                                                             | Comedy | 1998
 Bicentennial Man                                                                    | Comedy | 1999
 I Love You, Beth Cooper                                                             | Comedy | 2009
 Before We Go                                                                        | Comedy | 2014
 Smoke Signals                                                                       | Comedy | 1998
 A Guy Thing                                                                         | Comedy | 2003
 Babe                                                                                | Comedy | 1995
 ATL                                                                                 | Comedy | 2006
 Head of State                                                                       | Comedy | 2003
 Top Five                                                                            | Comedy | 2014
 Down to Earth                                                                       | Comedy | 2001
 About a Boy                                                                         | Comedy | 2002
 Love, Rosie                                                                         | Comedy | 2014
 Sunshine Cleaning                                                                   | Comedy | 2008
 The Chorus                                                                          | Comedy | 2004
 Jeffrey                                                                             | Comedy | 1995
 Gone Fishin'                                                                        | Comedy | 1997
 Johnson Family Vacation                                                             | Comedy | 2004
 The Big Picture                                                                     | Comedy | 1989
 Waiting for Guffman                                                                 | Comedy | 1996
 Best in Show                                                                        | Comedy | 2000
 A Mighty Wind                                                                       | Comedy | 2003
 For Your Consideration                                                              | Comedy | 2006
 Teen Wolf Too                                                                       | Comedy | 1987
 The Englishman Who Went Up a Hill But Came Down a Mountain                          | Comedy | 1995
 Four Lions                                                                          | Comedy | 2010
 Severance                                                                           | Comedy | 2006
 How to Deal                                                                         | Comedy | 2003
 The Wedding Date                                                                    | Comedy | 2005
 Rough Magic                                                                         | Comedy | 1995
 Choke                                                                               | Comedy | 2008
 Coming Soon                                                                         | Comedy | 1999
 House of Angels                                                                     | Comedy | 1992
 Safety Not Guaranteed                                                               | Comedy | 2012
 Just Before I Go                                                                    | Comedy | 2014
 Footloose                                                                           | Comedy | 2011
 Lars and the Real Girl                                                              | Comedy | 2007
 Fright Night                                                                        | Comedy | 2011
 Wonder Boys                                                                         | Comedy | 2000
 In Her Shoes                                                                        | Comedy | 2005
 Party Girl                                                                          | Comedy | 1995
 Madeline                                                                            | Comedy | 1998
 Love Potion No. 9                                                                   | Comedy | 1992
 Wild Tales                                                                          | Comedy | 2014
 East Is East                                                                        | Comedy | 1999
 Three to Tango                                                                      | Comedy | 1999
 Nothing But Trouble                                                                 | Comedy | 1991
 I Give It a Year                                                                    | Comedy | 2013
 Naked in New York                                                                   | Comedy | 1993
 Feds                                                                                | Comedy | 1988
 In the Army Now                                                                     | Comedy | 1994
 Life of Crime                                                                       | Comedy | 2013
 Rookie of the Year                                                                  | Comedy | 1993
 Sex and Death 101                                                                   | Comedy | 2007
 No Man's Land                                                                       | Comedy | 2001
 A Life Less Ordinary                                                                | Comedy | 1997
 Millions                                                                            | Comedy | 2004
 Throw Momma from the Train                                                          | Comedy | 1987
 The War of the Roses                                                                | Comedy | 1989
 Matilda                                                                             | Comedy | 1996
 Death to Smoochy                                                                    | Comedy | 2002
 Duplex                                                                              | Comedy | 2003
 Dude, Where's My Car?                                                               | Comedy | 2000
 Diary of a Mad Black Woman                                                          | Comedy | 2005
 Jawbreaker                                                                          | Comedy | 1999
 The Experts                                                                         | Comedy | 1989
 Novocaine                                                                           | Comedy | 2001
 Pass the Ammo                                                                       | Comedy | 1987
 It Takes Two                                                                        | Comedy | 1988
 Maps to the Stars                                                                   | Comedy | 2014
 Clay Pigeons                                                                        | Comedy | 1998
 Wedding Crashers                                                                    | Comedy | 2005
 Fred Claus                                                                          | Comedy | 2007
 The Change-Up                                                                       | Comedy | 2011
 Fever Pitch                                                                         | Comedy | 1997
 Miami Rhapsody                                                                      | Comedy | 1995
 The Devil Wears Prada                                                               | Comedy | 2006
 Marley & Me                                                                         | Comedy | 2008
 The Big Year                                                                        | Comedy | 2011
 Hope Springs                                                                        | Comedy | 2012
 The Sitter                                                                          | Comedy | 2011
 Our Brand Is Crisis                                                                 | Comedy | 2015
 Buster                                                                              | Comedy | 1988
 Rude Awakening                                                                      | Comedy | 1989
 Dorm Daze                                                                           | Comedy | 2003
 Cool as Ice                                                                         | Comedy | 1991
 Ghost Town                                                                          | Comedy | 2008
 Wish You Were Here                                                                  | Comedy | 1987
 Wild at Heart                                                                       | Comedy | 1990
 Spread                                                                              | Comedy | 2009
 Things Change                                                                       | Comedy | 1988
 State and Main                                                                      | Comedy | 2000
 Coyote Ugly                                                                         | Comedy | 2000
 The Sandlot                                                                         | Comedy | 1993
 First Kid                                                                           | Comedy | 1996
 Barely Legal                                                                        | Comedy | 2003
 Romy and Michele's High School Reunion                                              | Comedy | 1997
 Heartbreakers                                                                       | Comedy | 2001
 Edge of Seventeen                                                                   | Comedy | 1998
 Spanking the Monkey                                                                 | Comedy | 1994
 Flirting with Disaster                                                              | Comedy | 1996
 I Heart Huckabees                                                                   | Comedy | 2004
 Silver Linings Playbook                                                             | Comedy | 2012
 Martians Go Home                                                                    | Comedy | 1989
 Dr. Jekyll and Ms. Hyde                                                             | Comedy | 1995
 Whatever It Takes                                                                   | Comedy | 2000
 Major League                                                                        | Comedy | 1989
 King Ralph                                                                          | Comedy | 1991
 Major League II                                                                     | Comedy | 1994
 Down Periscope                                                                      | Comedy | 1996
 Punchline                                                                           | Comedy | 1988
 Wet Hot American Summer                                                             | Comedy | 2001
 Role Models                                                                         | Comedy | 2008
 Wanderlust                                                                          | Comedy | 2012
 The Naked Gun: from the Files of Police Squad!                                      | Comedy | 1988
 The Naked Gun 2Â½: The Smell of Fear                                                | Comedy | 1991
 BASEketball                                                                         | Comedy | 1998
 Scary Movie 3                                                                       | Comedy | 2003
 My Boss's Daughter                                                                  | Comedy | 2003
 Scary Movie 4                                                                       | Comedy | 2006
 Home Fries                                                                          | Comedy | 1998
 Fun with Dick and Jane                                                              | Comedy | 2005
 Sordid Lives                                                                        | Comedy | 2000
 What a Girl Wants                                                                   | Comedy | 2003
 New York Minute                                                                     | Comedy | 2004
 Problem Child                                                                       | Comedy | 1990
 Brain Donors                                                                        | Comedy | 1992
 Happy Gilmore                                                                       | Comedy | 1996
 Big Daddy                                                                           | Comedy | 1999
 Saving Silverman                                                                    | Comedy | 2001
 The Benchwarmers                                                                    | Comedy | 2006
 I Now Pronounce You Chuck & Larry                                                   | Comedy | 2007
 You Don't Mess with the Zohan                                                       | Comedy | 2008
 Grown Ups                                                                           | Comedy | 2010
 Just Go with It                                                                     | Comedy | 2011
 Jack and Jill                                                                       | Comedy | 2011
 Grown Ups 2                                                                         | Comedy | 2013
 The Barbarian Invasions                                                             | Comedy | 2003
 The Joneses                                                                         | Comedy | 2009
 Slackers                                                                            | Comedy | 2002
 The Women                                                                           | Comedy | 2008
 Hanging Up                                                                          | Comedy | 2000
 The Shrimp on the Barbie                                                            | Comedy | 1990
 Amazon Women on the Moon                                                            | Comedy | 1987
 Aria                                                                                | Comedy | 1987
 Four Rooms                                                                          | Comedy | 1995
 Paris, je t'aime                                                                    | Comedy | 2006
 New York, I Love You                                                                | Comedy | 2008
 The ABCs of Death                                                                   | Comedy | 2012
 Movie 43                                                                            | Comedy | 2013
 The Wash                                                                            | Comedy | 2001
 Hyenas                                                                              | Comedy | 1992
 Love, Honor and Obey                                                                | Comedy | 2000
 Bubba Ho-Tep                                                                        | Comedy | 2002
 John Dies at the End                                                                | Comedy | 2012
 Seed of Chucky                                                                      | Comedy | 2004
 The Grand Seduction                                                                 | Comedy | 2013
 Who's Your Caddy?                                                                   | Comedy | 2007
 The Opposite of Sex                                                                 | Comedy | 1997
 The Incredible Burt Wonderstone                                                     | Comedy | 2013
 Mystic Pizza                                                                        | Comedy | 1988
 Opportunity Knocks                                                                  | Comedy | 1990
 Grumpy Old Men                                                                      | Comedy | 1993
 Richie Rich                                                                         | Comedy | 1994
 The Favor                                                                           | Comedy | 1994
 The Associate                                                                       | Comedy | 1996
 My Favorite Martian                                                                 | Comedy | 1999
 How to Lose a Guy in 10 Days                                                        | Comedy | 2003
 Welcome to Mooseport                                                                | Comedy | 2004
 Just My Luck                                                                        | Comedy | 2006
 My Life in Ruins                                                                    | Comedy | 2009
 Teen Witch                                                                          | Comedy | 1989
 Phat Beach                                                                          | Comedy | 1996
 Kissing a Fool                                                                      | Comedy | 1998
 Entourage                                                                           | Comedy | 2015
 Swingers                                                                            | Comedy | 1996
 Go                                                                                  | Comedy | 1999
 Emma                                                                                | Comedy | 1996
 Quartet                                                                             | Comedy | 2012
 Little Giants                                                                       | Comedy | 1994
 Amos & Andrew                                                                       | Comedy | 1993
 The New Guy                                                                         | Comedy | 2002
 Harlem Nights                                                                       | Comedy | 1989
 Shaun of the Dead                                                                   | Comedy | 2004
 The World's End                                                                     | Comedy | 2013
 The Brothers McMullen                                                               | Comedy | 1995
 She's the One                                                                       | Comedy | 1996
 Keeping the Faith                                                                   | Comedy | 2000
 Leaving Normal                                                                      | Comedy | 1992
 Love & Other Drugs                                                                  | Comedy | 2010
 Tucker and Dale vs Evil                                                             | Comedy | 2010
 Aquamarine                                                                          | Comedy | 2006
 Ramona and Beezus                                                                   | Comedy | 2010
 Pitch Perfect 2                                                                     | Comedy | 2015
 Chances Are                                                                         | Comedy | 1989
 Three Men and a Little Lady                                                         | Comedy | 1990
 Sister Act                                                                          | Comedy | 1992
 The Way                                                                             | Comedy | 2010
 Time of the Gypsies                                                                 | Comedy | 1988
 Arizona Dream                                                                       | Comedy | 1993
 Underground                                                                         | Comedy | 1995
 Crna macka, beli macor                                                              | Comedy | 1998
 Gun Shy                                                                             | Comedy | 2000
 House Party 3                                                                       | Comedy | 1994
 If Lucy Fell                                                                        | Comedy | 1996
 Get Hard                                                                            | Comedy | 2015
 The Ladykillers                                                                     | Comedy | 2004
 Burn After Reading                                                                  | Comedy | 2008
 A Serious Man                                                                       | Comedy | 2009
 Inside Llewyn Davis                                                                 | Comedy | 2013
 House II: the Second Story                                                          | Comedy | 1987
 Once Upon a Crime...                                                                | Comedy | 1992
 This Is the End                                                                     | Comedy | 2013
 Friday                                                                              | Comedy | 1995
 Be Cool                                                                             | Comedy | 2005
 Dil Chahta Hai                                                                      | Comedy | 2001
 Intervista                                                                          | Comedy | 1987
 Belle Epoque                                                                        | Comedy | 1992
 Woman on Top                                                                        | Comedy | 2000
 Stand Up Guys                                                                       | Comedy | 2012
 There Goes My Baby                                                                  | Comedy | 1994
 Waiting to Exhale                                                                   | Comedy | 1995
 First Daughter                                                                      | Comedy | 2004
 Water Drops on Burning Rocks                                                        | Comedy | 2000
 8 Women                                                                             | Comedy | 2002
 Sugar & Spice                                                                       | Comedy | 2001
 Jack                                                                                | Comedy | 1996
 Out on a Limb                                                                       | Comedy | 1992
 Le DÃ®ner de Cons                                                                   | Comedy | 1998
 Tea with Mussolini                                                                  | Comedy | 1999
 The Wedding Singer                                                                  | Comedy | 1998
 The Waterboy                                                                        | Comedy | 1998
 Click                                                                               | Comedy | 2006
 Zookeeper                                                                           | Comedy | 2011
 Blended                                                                             | Comedy | 2014
 Frankenhooker                                                                       | Comedy | 1990
 Arachnophobia                                                                       | Comedy | 1990
 Dirty Rotten Scoundrels                                                             | Comedy | 1988
 What About Bob?                                                                     | Comedy | 1991
 HouseSitter                                                                         | Comedy | 1992
 In & Out                                                                            | Comedy | 1997
 Bowfinger                                                                           | Comedy | 1999
 The Stepford Wives                                                                  | Comedy | 2004
 Death at a Funeral                                                                  | Comedy | 2007
 Hello Again                                                                         | Comedy | 1987
 Roxanne                                                                             | Comedy | 1987
 Mr. Baseball                                                                        | Comedy | 1992
 Six Degrees of Separation                                                           | Comedy | 1993
 I.Q.                                                                                | Comedy | 1994
 Fierce Creatures                                                                    | Comedy | 1997
 It Runs in the Family                                                               | Comedy | 2003
 The House Bunny                                                                     | Comedy | 2008
 Mon pÃ¨re, ce hÃ©ros.                                                               | Comedy | 1991
 Playing for Keeps                                                                   | Comedy | 2012
 Mediterraneo                                                                        | Comedy | 1991
 Overboard                                                                           | Comedy | 1987
 Beaches                                                                             | Comedy | 1988
 Pretty Woman                                                                        | Comedy | 1990
 Frankie and Johnny                                                                  | Comedy | 1991
 Exit to Eden                                                                        | Comedy | 1994
 Dear God                                                                            | Comedy | 1996
 Runaway Bride                                                                       | Comedy | 1999
 The Other Sister                                                                    | Comedy | 1999
 The Princess Diaries                                                                | Comedy | 2001
 The Princess Diaries 2: Royal Engagement                                            | Comedy | 2004
 Raising Helen                                                                       | Comedy | 2004
 Georgia Rule                                                                        | Comedy | 2007
 Valentine's Day                                                                     | Comedy | 2010
 New Year's Eve                                                                      | Comedy | 2011
 Dad                                                                                 | Comedy | 1989
 Must Love Dogs                                                                      | Comedy | 2005
 Pleasantville                                                                       | Comedy | 1998
 The Bachelor                                                                        | Comedy | 1999
 13 Going on 30                                                                      | Comedy | 2004
 Bride Wars                                                                          | Comedy | 2009
 Casual Sex?                                                                         | Comedy | 1988
 The Sum of Us                                                                       | Comedy | 1994
 Survival of the Dead                                                                | Comedy | 2009
 Miami Blues                                                                         | Comedy | 1990
 The Big Bounce                                                                      | Comedy | 2004
 Leatherheads                                                                        | Comedy | 2008
 The Monuments Men                                                                   | Comedy | 2014
 29th Street                                                                         | Comedy | 1991
 Middle Men                                                                          | Comedy | 2009
 Swimming with Sharks                                                                | Comedy | 1994
 Trojan War                                                                          | Comedy | 1997
 House Party 2                                                                       | Comedy | 1991
 The Witches of Eastwick                                                             | Comedy | 1987
 Funny Farm                                                                          | Comedy | 1988
 Soul Food                                                                           | Comedy | 1997
 10 Things I Hate About You                                                          | Comedy | 1999
 Bordello of Blood                                                                   | Comedy | 1996
 A Simple Twist of Fate                                                              | Comedy | 1994
 Malena                                                                              | Comedy | 2000
 Crazy, Stupid, Love.                                                                | Comedy | 2011
 Focus                                                                               | Comedy | 2015
 Love Affair                                                                         | Comedy | 1994
 Picture Perfect                                                                     | Comedy | 1997
 Wristcutters: A Love Story                                                          | Comedy | 2006
 Mousehunt                                                                           | Comedy | 1997
 The Weather Man                                                                     | Comedy | 2005
 The Men Who Stare at Goats                                                          | Comedy | 2009
 License to Drive                                                                    | Comedy | 1988
 The Broken Hearts Club: A Romantic Comedy                                           | Comedy | 2000
 Life as We Know It                                                                  | Comedy | 2010
 Employee of the Month                                                               | Comedy | 2006
 The Daytrippers                                                                     | Comedy | 1996
 Superbad                                                                            | Comedy | 2007
 Adventureland                                                                       | Comedy | 2009
 The Living End                                                                      | Comedy | 1992
 Totally F***ed Up                                                                   | Comedy | 1993
 The Doom Generation                                                                 | Comedy | 1995
 Nowhere                                                                             | Comedy | 1997
 Smiley Face                                                                         | Comedy | 2007
 Kaboom                                                                              | Comedy | 2010
 Short Time                                                                          | Comedy | 1990
 Buffalo Soldiers                                                                    | Comedy | 2001
 Magic Mike XXL                                                                      | Comedy | 2015
 Tomcats                                                                             | Comedy | 2001
 Addicted to Love                                                                    | Comedy | 1997
 Practical Magic                                                                     | Comedy | 1998
 Little White Lies                                                                   | Comedy | 2010
 Bhaji on the Beach                                                                  | Comedy | 1993
 Bend It Like Beckham                                                                | Comedy | 2002
 Bride & Prejudice                                                                   | Comedy | 2004
 Even Cowgirls Get the Blues                                                         | Comedy | 1993
 To Die For                                                                          | Comedy | 1995
